"context","type","above","below","equal","phase","structure"
1,"Deposit",,2,,"I",
2,"Deposit",1,3,,"II",
3,"Fill",2,"4,5",,"II",
4,"Structural",3,30,,,"Structure 2"
5,"Deposit",3,"6,11",,"III",
6,"Structural",5,"7,9",11,,"Structure 2"
7,"Fill",6,8,,"III",
8,"Cut",7,12,,"III",
9,"Fill",6,10,,"III",
10,"Cut",9,12,,"III",
11,"Structural","3,5",12,,,"Structure 2"
12,"Deposit","11,5,8,10","13,17,14,15",,"IV",
13,"Fill",12,17,,"V",
14,"Fill",12,16,,"V",
15,"Fill",12,18,,"V",
16,"Fill",14,19,,"V",
17,"Structural","12,13",22,,,"Fireplace"
18,"Structural",15,22,,,"Fireplace"
19,"Cut",16,22,,"V",
20,"Structural","23,24",25,21,,"Structure 1"
21,"Structural","23,24",25,20,,"Structure 1"
22,"Fill","17,18,19","23,24",,"VI",
23,"Fill",22,26,24,"VI",
24,"Fill",22,25,23,"VI",
25,"Structural","20,21,24",30,,,"Structure 1"
26,"Fill",23,27,,"VI",
27,"Fill",26,28,,"VI",
28,"Structural",27,29,,,"Structure 1"
29,"Cut",28,30,,"VI",
30,"Deposit","4,25,29",,,,
